Institute Name,Institute Type,Location,Total Rating,Phone Number,Website Link
Lorn & Islands Hospital,"Hospital
Argyll, United Kingdom
Open 24 hours","Argyll, United Kingdom",,+44 1631 567500,https://www.nhshighland.scot.nhs.uk/your-services/in-person-services-and-locations/hospitals/lorn-and-islands-hospital/
Dunbar Hospital,"Hospital
Thurso, United Kingdom
Open 24 hours","Thurso, United Kingdom",,+44 1847 893263,https://www.nhshighland.scot.nhs.uk/your-services/in-person-services-and-locations/hospitals/dunbar-hospital/
Biggart Hospital,"Hospital
Prestwick, United Kingdom
Open ⋅ Closes 8 pm","Prestwick, United Kingdom",,+44 1292 470611,https://www.nhsaaa.net/services/hospitals/biggart-hospital/
"Queen Margaret Hospital, Dunfermline","Hospital
Dunfermline, United Kingdom
Closes soon ⋅ 5 pm","Dunfermline, United Kingdom",,+44 1383 623623,N/A
Ninewells Hospital,"General hospital
Dundee, United Kingdom
Open 24 hours","Dundee, United Kingdom",,+44 1382 660111,http://www.nhstayside.scot.nhs.uk/patients/hospital/ninewells.shtml
NHS Fife,"Hospital
Kirkcaldy, United Kingdom
Open 24 hours","Kirkcaldy, United Kingdom",,+44 1592 643355,http://www.nhsfife.org/
Galloway Community Hospital,"Hospital
Stranraer, United Kingdom
Open 24 hours","Stranraer, United Kingdom",,+44 1776 707707,https://www.nhsinform.scot/scotlands-service-directory/hospitals/8915%201dng1116
Golden Jubilee Hospital Glasgow,"Hospital
Clydebank, United Kingdom
DIRECTIONS","Clydebank, United Kingdom",,N/A,N/A
Hawick Community Hospital,"Hospital
Hawick, United Kingdom
Open ⋅ Closes 5:30 pm","Hawick, United Kingdom",,+44 1450 372162,http://www.nhsborders.scot.nhs.uk/patients-and-visitors/our-services/hospitals/hawick-community-hospital/
Caithness General Hospital,"Hospital
Wick, United Kingdom
Open 24 hours","Wick, United Kingdom",,+44 1955 605050,https://www.nhshighland.scot.nhs.uk/your-services/in-person-services-and-locations/hospitals/caithness-general-hospital/
Mull and Iona Community Hospital,"Hospital
Isle of Mull, United Kingdom
Open 24 hours","Isle of Mull, United Kingdom",,+44 1680 300392,https://www.nhshighland.scot.nhs.uk/your-services/in-person-services-and-locations/hospitals/mull-and-iona-community-hospital-craignure/
"Royal Victoria Hospital, Dundee","Hospital
Dundee, United Kingdom
Closed ⋅ Opens 8 am Mon","Dundee, United Kingdom",,+44 1382 423000,http://www.nhstayside.scot.nhs.uk/patients/hospital/ROY_VICTORIA_HOSP.shtml
Turner Memorial Hospital,"Hospital
Keith, United Kingdom
Open ⋅ Closes 6 pm","Keith, United Kingdom",,+44 1542 882526,N/A
Dumfries & Galloway Royal Infirmary,"Hospital
Dumfries, United Kingdom
Open 24 hours","Dumfries, United Kingdom",,+44 1387 246246,https://www.nhsdg.co.uk/
Nuffield Health Glasgow Hospital,"Private hospital
Glasgow, United Kingdom
Open ⋅ Closes 9:30 pm","Glasgow, United Kingdom",,+44 141 334 9441,https://www.nuffieldhealth.com/hospitals/glasgow?utm_source=google&utm_medium=local&utm_campaign=GoogleLocal-Glasgow-Hospital
Wester Moffat Hospital,"Hospital
United Kingdom
Open ⋅ Closes 8:30 pm",United Kingdom,,+44 1698 687700,http://www.nhslanarkshire.org.uk/Hospitals/communityhospitals/WesterMoffat/Pages/default.aspx
Chalmers Hospital,"General hospital
Banff, United Kingdom
Open ⋅ Closes 8 pm","Banff, United Kingdom",,+44 1261 812567,N/A
Adamson Hospital,"Hospital
Cupar, United Kingdom
Open ⋅ Closes 6 pm","Cupar, United Kingdom",,+44 1334 651200,https://www.nhsfife.org/services/hospitals-and-wards/hospitals/adamson-hospital/
Stirling Community Hospital,"General hospital
Stirling, United Kingdom
Open ⋅ Closes 9 pm","Stirling, United Kingdom",,+44 1786 434000,https://nhsforthvalley.com/hospitals/stirling-health-and-care-village/
East Ayrshire Community Hospital,"General hospital
Cumnock, United Kingdom
Open ⋅ Closes 8 pm","Cumnock, United Kingdom",,+44 1290 429429,https://www.nhsaaa.net/services/hospitals/east-ayrshire-community-hospital/
Liberton Hospital,"General hospital
Edinburgh, United Kingdom
Open 24 hours","Edinburgh, United Kingdom",,+44 131 536 7800,http://www.nhslothian.scot.nhs.uk/
Bellsdyke Hospital,"Hospital
Larbert, United Kingdom
Open ⋅ Closes 8 pm","Larbert, United Kingdom",,+44 1324 572607,https://nhsforthvalley.com/hospitals/bellsdyke-hospital/
Royal Edinburgh Hospital,"Psychiatric hospital
United Kingdom
Open 24 hours",United Kingdom,,+44 131 537 6000,http://www.nhslothian.scot.nhs.uk/
Falkirk Community Hospital,"Hospital
Falkirk, United Kingdom
Closes soon ⋅ 5 pm","Falkirk, United Kingdom",,+44 1324 624000,http://nhsforthvalley.com/hospitals/falkirk-community-hospital/
Murray Royal Hospital,"General hospital
Perth, United Kingdom
Open 24 hours","Perth, United Kingdom",,+44 1738 621151,http://www.nhstayside.scot.nhs.uk/patients/hospital/MURRAY_ROY_HOSP.shtml
West Glasgow Ambulatory Care Hospital,"Hospital
Glasgow, United Kingdom
Open now","Glasgow, United Kingdom",,+44 141 414 6713,https://www.nhsggc.scot/hospitals-services/main-hospitals/west-glasgow/
Jubilee Hospital,"Hospital
Huntly, United Kingdom
Open 24 hours","Huntly, United Kingdom",,+44 345 456 6000,N/A
Balfour Hospital,"Government hospital
Kirkwall, United Kingdom
Open 24 hours","Kirkwall, United Kingdom",,+44 1856 888000,http://www.ohb.scot.nhs.uk/contact-us
The State Hospital,"Psychiatric hospital
Lanark, United Kingdom
Closed ⋅ Opens 8 am Sat","Lanark, United Kingdom",,+44 1555 840293,http://www.tsh.scot.nhs.uk/
Gartnavel General Hospital,"General hospital
Glasgow, United Kingdom
Open 24 hours","Glasgow, United Kingdom",,+44 141 211 3000,https://www.nhsggc.scot/hospitals-services/main-hospitals/gartnavel-general-hospital/
Cleland hospital,"Hospital
Motherwell, United Kingdom
Open now","Motherwell, United Kingdom",,+44 1698 687630,https://www.nhslanarkshire.scot.nhs.uk/hospitals/
Whytemans Brae Hospital,"Hospital
Kirkcaldy, United Kingdom
DIRECTIONS","Kirkcaldy, United Kingdom",,N/A,N/A
Arran War Memorial Hospital,"General hospital
Isle of Arran, United Kingdom
Open ⋅ Closes 8 pm","Isle of Arran, United Kingdom",,+44 1770 600777,https://www.nhsaaa.net/services/hospitals/arran-war-memorial-hospital/
Stirling Health & Care Village,"Hospital
Stirling, United Kingdom
Open ⋅ Closes 9 pm","Stirling, United Kingdom",,+44 1786 434000,http://nhsforthvalley.com/
Kirklands Hospital,"Hospital
Glasgow, United Kingdom
Open 24 hours","Glasgow, United Kingdom",,+44 1236 748748,http://www.nhslanarkshire.org.uk/Hospitals/communityhospitals/Kirklands/Pages/default.aspx
Pitlochry Community Hospital,"General hospital
Pitlochry, United Kingdom
Open now","Pitlochry, United Kingdom",,+44 1796 472052,http://www.nhstayside.scot.nhs.uk/GoingToHospital/OurPremisesA-Z/PitlochryCommunityHospital/index.htm
Nuffield Health Edinburgh Hospital,"Private hospital
Edinburgh, United Kingdom
Closes soon ⋅ 5 pm","Edinburgh, United Kingdom",,+44 131 447 2340,https://www.nuffieldhealth.com/hospitals/edinburgh?utm_source=gbp&utm_medium=yext
Royal Hospital for Children & Young People,"Children's hospital
Edinburgh, United Kingdom
Open 24 hours","Edinburgh, United Kingdom",,+44 131 536 1000,https://children.nhslothian.scot/the-rhcyp/
Dykebar Hospital,"Psychiatric hospital
Paisley, United Kingdom
Open 24 hours","Paisley, United Kingdom",,+44 141 201 1099,http://www.nhsggc.org.uk/content/default.asp?page=s762&loc_id=2526
Spire Shawfair Park Hospital Edinburgh,"Private hospital
Dalkeith, United Kingdom
Open ⋅ Closes 8 pm","Dalkeith, United Kingdom",,+44 131 654 5600,https://www.spirehealthcare.com/spire-edinburgh-hospitals-murrayfield-and-shawfair-park/?utm_source=google&utm_medium=organic&utm_campaign=Hospital_GMB
Mid Argyll Community Hospital and Integrated Care Centre,"Hospital
Lochgilphead, United Kingdom
Open now","Lochgilphead, United Kingdom",,+44 1546 462000,http://www.nhshighland.scot.nhs.uk/Services/Pages/MidArgyllCommunityHospitalandIntegratedCareCentre.aspx
Aboyne Hospital,"Hospital
Aboyne, United Kingdom
Open now","Aboyne, United Kingdom",,+44 1339 886433,https://www.nhsgrampian.org/hospital-hub/aboyne-hospital
Fleming Hospital & Aberlour Health Centre,"Hospital
Aberlour, United Kingdom
Open now","Aberlour, United Kingdom",,+44 1340 871464,N/A
Migdale Hospital,"Hospital
Ardgay, United Kingdom
Closes soon ⋅ 5 pm","Ardgay, United Kingdom",,+44 1863 766211,https://www.nhshighland.scot.nhs.uk/your-services/in-person-services-and-locations/hospitals/migdale-hospital-bonar-bridge/
Ross Hall Clinic Braehead,"Hospital
Renfrew, United Kingdom
Open ⋅ Closes 9 pm","Renfrew, United Kingdom",,+44 141 810 3151,https://www.circlehealthgroup.co.uk/hospitals/ross-hall-clinic-braehead?utm_source=google&utm_medium=googlelocal&utm_campaign=bmirosshallbraehead
Town & County Hospital,"Hospital
Wick, United Kingdom
Open 24 hours","Wick, United Kingdom",,+44 1955 880389,N/A
Ayrshire Central Hospital,"Specialized hospital
Irvine, United Kingdom
Open ⋅ Closes 9 pm","Irvine, United Kingdom",,+44 1294 274191,N/A
Islay Hospital,"Hospital
Isle of Islay, United Kingdom
Open now","Isle of Islay, United Kingdom",,+44 1496 301000,http://www.nhshighland.scot.nhs.uk/Services/Pages/IslayHospital.aspx
N H S Greater Glasgow & Clyde,"Hospital
Glasgow, United Kingdom
Closes soon ⋅ 5 pm","Glasgow, United Kingdom",,+44 141 201 1000,N/A
Inverurie Hospital,"Hospital
United Kingdom
Open ⋅ Closes 6 pm",United Kingdom,,+44 345 456 6000,https://www.nhsgrampian.org/hospital-hub/inverurie-hospital
Cameron Hospital,"Hospital
Leven, United Kingdom
Closed ⋅ Opens 9 am Sat","Leven, United Kingdom",,+44 1592 712472,https://www.nhsfife.org/services/hospitals-and-wards/hospitals/cameron-hospital/
Cowal Community Hospital,"Hospital
Dunoon, United Kingdom
Open 24 hours","Dunoon, United Kingdom",,+44 1369 704341,https://www.nhshighland.scot.nhs.uk/your-services/in-person-services-and-locations/hospitals/cowal-community-hospital/
Beatson West of Scotland Cancer Centre,"Cancer treatment center
Glasgow, United Kingdom
Open ⋅ Closes 10 pm","Glasgow, United Kingdom",,+44 141 301 7000,http://www.beatson.scot.nhs.uk/
Glenrothes Hospital,"General hospital
Glenrothes, United Kingdom
Open 24 hours","Glenrothes, United Kingdom",,+44 1592 743505,https://www.nhsfife.org/services/hospitals-and-wards/hospitals/glenrothes-hospital/
Glen O'Dee Hospital,"General hospital
Banchory, United Kingdom
Open 24 hours","Banchory, United Kingdom",,+44 1330 822233,http://www.nhsgrampian.org/
Astley Ainslie Hospital,"Rehabilitation center
Edinburgh, United Kingdom
Open 24 hours","Edinburgh, United Kingdom",,+44 131 537 9000,https://www.nhslothian.scot/goingtohospital/astley-ainslie-hospital/
Victoria Hospital,"Hospital
Isle of Bute, United Kingdom
Open now","Isle of Bute, United Kingdom",,+44 1700 503938,https://www.nhshighland.scot.nhs.uk/your-services/in-person-services-and-locations/hospitals/victoria-hospital-rothesay/
Royal Cornhill Hospital,"Psychiatric hospital
Aberdeen, United Kingdom
Open 24 hours","Aberdeen, United Kingdom",,+44 345 456 6000,https://www.nhsgrampian.org/hospital-hub/royal-cornhill-hospital
Kings Cross Hospital,"Hospital
Dundee, United Kingdom
Open ⋅ Closes 6 pm","Dundee, United Kingdom",,+44 1382 660111,http://www.nhstayside.scot.nhs.uk/GoingToHospital/OurPremisesA-Z/HealthandCommunityCareCentre/index.htm
Gartnavel Royal Hospital,"Mental health service
Glasgow, United Kingdom
Open 24 hours","Glasgow, United Kingdom",,+44 141 211 3600,N/A
St Ellens Private Hospital,"Hospital
Livingston, United Kingdom
Open 24 hours","Livingston, United Kingdom",,+44 131 202 9166,http://stellenshospital.com/
National Treatment Centre - Highland,"Hospital
Inverness, United Kingdom
Closes soon ⋅ 5 pm","Inverness, United Kingdom",,+44 1463 704000,https://www.nhshighland.scot.nhs.uk/your-services/in-person-services-and-locations/hospitals/national-treatment-centre-highland-inverness/
Arbroath Infirmary,"General hospital
Arbroath, United Kingdom
Open 24 hours","Arbroath, United Kingdom",,+44 1241 872584,http://www.nhstayside.scot.nhs.uk/patients/hospital/ARBROATH_INF.shtml
"Victoria Hospital, Kirkcaldy ENT","Hospital
Kirkcaldy, United Kingdom
Open 24 hours","Kirkcaldy, United Kingdom",,+44 1592 643355,https://www.nhsfife.org/services/hospitals-and-health-centres/hospitals/victoria-hospital/
St Brendans Hospital,"Hospital
Isle of Barra, United Kingdom
Open 24 hours","Isle of Barra, United Kingdom",,+44 1871 812021,https://www.nhsinform.scot/scotlands-service-directory/hospitals/9203%201wis1116
Leverndale Hospital,"Hospital
Glasgow, United Kingdom
Closes soon ⋅ 5 pm","Glasgow, United Kingdom",,+44 141 211 6400,https://www.nhsggc.scot/hospitals-services/mental-health-hospitals-centres-teams/leverndale-hospital/
Cygnet Wallace Hospital,"Private hospital
Dundee, United Kingdom
Open 24 hours","Dundee, United Kingdom",,+44 1382 819910,https://www.cygnetgroup.com/locations/wallace-hospital/
Randolph Wemyss Memorial Hospital,"General hospital
Leven, United Kingdom
Closed ⋅ Opens 9 am Mon","Leven, United Kingdom",,+44 1592 712427,https://www.nhsfife.org/services/hospitals-and-wards/hospitals/randolph-weymss-memorial-hospital/
Victoria Integrated Care Centre,"Hospital
Helensburgh, United Kingdom
Open now","Helensburgh, United Kingdom",,+44 1436 655132,http://www.nhshighland.scot.nhs.uk/Services/Pages/VictoriaInfirmaryHelensburgh.aspx
Stratheden Hospital,"Hospital
Cupar, United Kingdom
+44 1334 652611
	
""It's a miracle the hospital is able to stay open under these circumstances.""
WEBSITE
	
DIRECTIONS","Cupar, United Kingdom",,N/A,https://www.nhsfife.org/services/hospitals-and-wards/hospitals/stratheden-hospital/
Stephen Hospital & Dufftown Health Centre,"Hospital
Keith, United Kingdom
Open now","Keith, United Kingdom",,+44 1340 820215,N/A
Campbeltown Hospital,"Hospital
Campbeltown, United Kingdom
Open 24 hours","Campbeltown, United Kingdom",,+44 1586 552224,http://www.nhshighland.scot.nhs.uk/Services/Pages/CampbeltownHospital.aspx
"East Block, Ninewells Hospital and Medical School","Hospital
United Kingdom
Open 24 hours",United Kingdom,,+44 1382 660111,http://www.nhstayside.scot.nhs.uk/
Newton Stewart Hospital,"Hospital
Newton Stewart, United Kingdom
Open now","Newton Stewart, United Kingdom",,+44 1671 402015,N/A
Edington Cottage Hospital,"General hospital
North Berwick, United Kingdom
+44 1620 897040
WEBSITE
	
DIRECTIONS","North Berwick, United Kingdom",,N/A,https://www.nhslothian.scot/goingtohospital/edington-cottage-hospital/
Chalmers Centre,"General hospital
Edinburgh, United Kingdom
Closed ⋅ Opens 8:30 am Mon","Edinburgh, United Kingdom",,+44 131 536 1070,https://www.nhslothian.scot/goingtohospital/chalmers/
Findlay House,"General hospital
United Kingdom
+44 131 454 2200
	
""The staff are all lovely and great with patients.""
DIRECTIONS",United Kingdom,,N/A,N/A
Nairn Town and County Hospital and Primary Care Centre,"Hospital
Nairn, United Kingdom
Open 24 hours","Nairn, United Kingdom",,+44 1667 452096,N/A
Thomas Hope Hospital,"Hospital
Langholm, United Kingdom
Open now","Langholm, United Kingdom",,+44 13873 80417,http://www.nhsdg.scot.nhs.uk/Hospitals/Thomas_Hope_Hospital
Bo'ness Hospital,"Psychiatric hospital
Bo'ness, United Kingdom
Open now","Bo'ness, United Kingdom",,+44 1506 829580,https://nhsforthvalley.com/hospitals/boness-community-hospital/
Portree Community Hospital,"Hospital
Fancyhill, United Kingdom
+44 1478 613200
WEBSITE
	
DIRECTIONS","Fancyhill, United Kingdom",,N/A,https://www.nhshighland.scot.nhs.uk/your-services/in-person-services-and-locations/hospitals/portree-community-hospital-skye/
Kello Hospital,"Hospital
Biggar, United Kingdom
+44 1899 220077
WEBSITE
	
DIRECTIONS","Biggar, United Kingdom",N/A,N/A,https://www.nhslanarkshire.scot.nhs.uk/hospitals/
Royal Hospital for Children,"Children's hospital
Glasgow, United Kingdom
Open 24 hours","Glasgow, United Kingdom",,+44 141 201 0000,http://www.nhsggc.org.uk/locations/hospitals/royal-hospital-for-children-glasgow/
The Royal Northern Infirmary,"Hospital
Inverness, United Kingdom
Open now","Inverness, United Kingdom",,+44 1463 706966,N/A
Tippethill House Hospital,"General hospital
Armadale, United Kingdom
Open now","Armadale, United Kingdom",,+44 1501 745917,https://www.nhslothian.scot/goingtohospital/tippethill-hospital/
Victoria Memorial Cottage Hospital,"Hospital
Glasgow, United Kingdom
Open now","Glasgow, United Kingdom",,+44 1236 822172,http://www.nhslanarkshire.org.uk/Hospitals/communityhospitals/Kilsyth/Pages/default.aspx
Outpatient Building Western General Hospital,"Hospital
Edinburgh, United Kingdom
DIRECTIONS","Edinburgh, United Kingdom",,N/A,N/A
Woodland View Hospital,"Psychiatric hospital
Irvine, United Kingdom
Open 24 hours","Irvine, United Kingdom",,+44 1294 274191,https://www.nhsaaa.net/services/hospitals/woodland-view/
Tayside Children's Hospital,"Children's hospital
United Kingdom
Open 24 hours",United Kingdom,,+44 1382 660111,https://www.nhstayside.scot.nhs.uk/OurServicesA-Z/TaysideChildrensHospital/index.htm
The William Quarrier Scottish Epilepsy Centre,"General hospital
Glasgow, United Kingdom
Open 24 hours","Glasgow, United Kingdom",,+44 141 445 7750,https://www.quarriers.org.uk/service/epilepsy-and-neurology/the-william-quarrier-scottish-epilepsy-centre/
Lynebank Hospital,"Hospital
Dunfermline, United Kingdom
Open now","Dunfermline, United Kingdom",,+44 1383 623623,http://www.nhsfife.org/
Broadford Medical Centre,"Hospital
Isle of Skye, United Kingdom
Open ⋅ Closes 6 pm","Isle of Skye, United Kingdom",,+44 1471 822460,http://www.nhshighland.scot.nhs.uk/Services/Pages/BroadfordMedicalPractice.aspx
Princess Royal Maternity Hospital,"Maternity hospital
Glasgow, United Kingdom
Open 24 hours","Glasgow, United Kingdom",,+44 141 211 5400,https://www.nhsggc.org.uk/locations/hospitals/princess-royal-maternity/
Whitehills Health & Community Care Centre,"Medical Center
Forfar, United Kingdom
Open now","Forfar, United Kingdom",,+44 1307 475222,http://www.angus.gov.uk/
West House - Gartnavel Royal Hospital,"Hospital
Glasgow, United Kingdom
DIRECTIONS","Glasgow, United Kingdom",,N/A,N/A
Aberdeen Maternity Hospital,"Maternity hospital
Aberdeen, United Kingdom
Open 24 hours","Aberdeen, United Kingdom",,+44 345 456 6000,http://www.nhsgrampian.org/
Grampian Specialist Rehabilitation Centre,"Hospital
Aberdeen, United Kingdom
Open 24 hours","Aberdeen, United Kingdom",,+44 845 456 6000,http://nhsgrampian.org/
Eastwood Health and Care Centre,"Medical Center
Glasgow, United Kingdom
Open ⋅ Closes 6 pm","Glasgow, United Kingdom",,+44 141 451 0500,https://www.nhsggc.scot/hospitals-services/health-centres-and-clinics/eastwood-health-and-care-centre/
