Institute Name,Institute Type,Location,Total Rating,Phone Number,Website Link
St. Vincent's University Hospital,"Hospital
Dublin 4, Ireland
Open 24 hours","Dublin 4, Ireland",,+353 1 221 4000,https://www.stvincents.ie/
National Orthopaedic Hospital Cappagh,"Hospital
Dublin 11, Ireland
Open 24 hours","Dublin 11, Ireland",,+353 1 814 0400,https://nohc.ie/
Cherry Orchard Hospital,"Hospital
Dublin, Ireland
Open 24 hours","Dublin, Ireland",,+353 1 795 5000,http://www.hse.ie/
Sligo University Hospital,"Hospital
Sligo, Ireland
Open 24 hours","Sligo, Ireland",,+353 71 917 1111,https://www.saolta.ie/hospital/suh
St. John's Hospital,"General hospital
Limerick, Ireland
Open ⋅ Closes 7 pm","Limerick, Ireland",,+353 61 462 222,https://www.stjohnshospital.ie/
Clontarf Hospital,"Hospital
County Dublin, Ireland
Open ⋅ Closes 8 pm","County Dublin, Ireland",,+353 1 833 2521,http://www.ioh.ie/
Naas General Hospital,"Hospital
Naas, County Kildare, Ireland
Open 24 hours","Naas, County Kildare, Ireland",,+353 45 849 500,http://www.hse.ie/eng/services/list/3/acutehospitals/hospitals/Naas/
Bon Secours Hospital Tralee,"Hospital
Tralee, County Kerry, Ireland
Open 24 hours","Tralee, County Kerry, Ireland",,+353 66 714 9800,http://www.bonsecours.ie/tralee
Cavan General Hospital,"Hospital
Cavan, Ireland
Open 24 hours","Cavan, Ireland",,+353 49 437 6000,https://www.hse.ie/eng/services/list/3/acutehospitals/hospitals/cavanmonaghan/cavan-monaghan-hospital.html
Our Lady's Hospital,"Hospital
Navan, County Meath, Ireland
Open 24 hours","Navan, County Meath, Ireland",,+353 46 907 8500,https://www2.hse.ie/services/hospitals/our-ladys-hospital-navan/
The Mater Misericordiae University Hospital,"Hospital
Dublin 7, Ireland
Open 24 hours","Dublin 7, Ireland",,+353 1 803 2000,http://www.mater.ie/
Blackrock Health Galway Clinic,"Private hospital
Galway, Ireland
Open 24 hours","Galway, Ireland",,+353 91 785 000,https://www.blackrockhealth.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing-gc
St. Luke's Hospital,"Hospital
Dublin 6, Ireland
Open 24 hours","Dublin 6, Ireland",,+353 1 406 5000,http://stlukesnetwork.ie/
Rotunda Hospital,"Hospital
Dublin 1, Ireland
Open 24 hours","Dublin 1, Ireland",,+353 1 817 1700,https://rotunda.ie/
Bon Secours Hospital,"General hospital
Cork, Ireland
Open 24 hours","Cork, Ireland",,+353 21 454 2807,http://www.bonsecours.ie/cork
Midland Regional Hospital Portlaoise,"Hospital
Portlaoise, County Laois, Ireland
Open 24 hours","Portlaoise, County Laois, Ireland",,+353 57 862 1364,http://www.hse.ie/
Blackrock Health Hermitage Clinic,"General hospital
Dublin, Ireland
Open 24 hours","Dublin, Ireland",,+353 1 645 9000,https://www.blackrockhealth.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing-hc
Charter Medical Private Hospital,"Private hospital
Mullingar, County Westmeath, Ireland
Open 24 hours","Mullingar, County Westmeath, Ireland",,+353 44 938 5300,http://cmph.ie/
Bantry General Hospital,"Hospital
Bantry, County Cork, Ireland
Open 24 hours","Bantry, County Cork, Ireland",,+353 27 50133,https://www2.hse.ie/services/hospitals/bantry-general-hospital/
"Our Lady of Lourdes Hospital, Drogheda","Hospital
Drogheda, County Louth, Ireland
Open 24 hours","Drogheda, County Louth, Ireland",,+353 41 983 7601,http://www.hse.ie/eng/services/list/3/acutehospitals/hospitals/Lourdes/
St. Columcille's Hospital,"Hospital
County Dublin, Ireland
Open ⋅ Closes 6 pm","County Dublin, Ireland",,+353 1 282 5800,https://www2.hse.ie/services/hospitals/st-columcilles-hospital/
Blackrock Health Blackrock Clinic - Private Hospital Dublin,"Private hospital
Dublin, Ireland
Open now","Dublin, Ireland",,+353 1 283 2222,https://www.blackrockhealth.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing-bc
St. Vincent's Private Hospital,"Private hospital
Dublin 4, Ireland
Open 24 hours","Dublin 4, Ireland",,+353 1 263 8000,https://svph.ie/
Monaghan General Hospital,"Hospital
Monaghan, Ireland
Closes soon ⋅ 5 pm","Monaghan, Ireland",,+353 47 81811,http://www.hse.ie/
Roscommon University Hospital,"Hospital
Roscommon, Ireland
Closed ⋅ Opens 6:30 pm","Roscommon, Ireland",,+353 90 662 6200,http://www.saolta.ie/hospital/ruh
"Midland Regional Hospital, Mullingar","Hospital
Mullingar, County Westmeath, Ireland
Open 24 hours","Mullingar, County Westmeath, Ireland",,+353 44 934 0221,https://www2.hse.ie/
Mallow General Hospital,"Hospital
Mallow, County Cork, Ireland
Open ⋅ Closes 8 pm","Mallow, County Cork, Ireland",,+353 22 21251,https://www2.hse.ie/services/hospitals/mallow-general-hospital/
UPMC Whitfield Hospital,"Hospital
Waterford, Ireland
Open 24 hours","Waterford, Ireland",,+353 51 337 400,https://www.upmc.ie/upmc-whitfield/
Hospital.ie,"Recruiter
Dublin 8, Ireland
Open 24 hours","Dublin 8, Ireland",,+353 1 699 1666,https://hospital.ie/
Tipperary University Hospital,"Hospital
Clonmel, County Tipperary, Ireland
Open 24 hours","Clonmel, County Tipperary, Ireland",,+353 52 617 7000,https://www2.hse.ie/services/hospitals/tipperary-university-hospital/
Connolly Hospital Blanchardstown,"Hospital
Dublin, Ireland
Open 24 hours","Dublin, Ireland",,+353 1 646 5000,http://www.hse.ie/eng/services/list/3/acutehospitals/hospitals/Connolly/
Midland Regional Hospital Tullamore,"Hospital
Tullamore, County Offaly, Ireland
Open 24 hours","Tullamore, County Offaly, Ireland",,+353 57 932 1501,https://www2.hse.ie/services/hospitals/midland-regional-hospital-tullamore/
Tallaght University Hospital,"Hospital
Dublin 24, Ireland
Open 24 hours","Dublin 24, Ireland",,+353 1 414 2000,http://www.tuh.ie/
Louth County Hospital,"Hospital
Dundalk, County Louth, Ireland
Open ⋅ Closes 9 pm","Dundalk, County Louth, Ireland",,+353 42 933 4701,http://www.hse.ie/eng/services/list/3/acutehospitals/hospitals/louthcounty/
CHI at Temple Street,"Children's hospital
Dublin 1, Ireland
Open 24 hours","Dublin 1, Ireland",,+353 1 878 4200,http://www.cuh.ie/
St. Luke's General Hospital,"General hospital
Kilkenny, Ireland
Open now","Kilkenny, Ireland",,+353 56 778 5000,https://www2.hse.ie/services/hospitals/st-lukes-general-hospital-kilkenny/
Ballina District Hospital (St Josephs),"Hospital
Ballina, County Mayo, Ireland
Open ⋅ Closes 9 pm","Ballina, County Mayo, Ireland",,+353 96 21166,https://www.hiqa.ie/areas-we-work/find-a-centre/st-josephs-district-hospital
UPMC Aut Even,"Hospital
Kilkenny, Ireland
Open 24 hours","Kilkenny, Ireland",,+353 56 777 5275,https://www.upmc.ie/upmc-aut-even/
University Hospital Kerry,"Hospital
Tralee, County Kerry, Ireland
Open now","Tralee, County Kerry, Ireland",,+353 66 718 4000,http://uhk.ie/
Causeway Hospital,"Hospital
Coleraine, United Kingdom
Open 24 hours","Coleraine, United Kingdom",,+44 28 7032 7032,https://www.northerntrust.hscni.net/hospitals/causeway-hospital/
Children's Health Ireland (CHI) at Crumlin,"Children's hospital
Dublin, Ireland
Open 24 hours","Dublin, Ireland",,+353 1 409 6100,http://www.olchc.ie/
Kilcreene Regional Orthopaedic Hospital,"Hospital
Kilcreene, County Kilkenny, Ireland
+353 56 778 5500
	
""Very good hospital, thank you all who helped me dr.""
WEBSITE
	
DIRECTIONS","Kilcreene, County Kilkenny, Ireland",,N/A,https://www2.hse.ie/services/hospitals/kilcreene-regional-orthopaedic-hospital/
St. Conal's Hospital,"Hospital
Letterkenny, County Donegal, Ireland
Open 24 hours","Letterkenny, County Donegal, Ireland",,+353 74 912 1022,http://www.hse.ie/
Swinford District Hospital,"Hospital
Swinford, County Mayo, Ireland
Open 24 hours","Swinford, County Mayo, Ireland",,+353 94 925 1102,http://www.hse.ie/
The Royal Hospital Donnybrook,"Hospital
County Dublin, Ireland
Open 24 hours","County Dublin, Ireland",,+353 1 406 6600,http://www.rhd.ie/
Daisy Hill Hospital,"Government hospital
Newry, United Kingdom
Open 24 hours","Newry, United Kingdom",,+44 28 3083 5000,https://southerntrust.hscni.net/our-hospitals/daisy-hill-hospital/
St James Hospital 2,"Hospital
Dublin, Ireland
Open 24 hours
	
""Has one of the best cancer units in Europe.""
WEBSITE
	
DIRECTIONS","Dublin, Ireland",,N/A,http://www.stjames.ie/Departments/DepartmentsA-Z/P/PlasticReconstructiveSurgery/MapDirections/
Dingle Community Hospital,"Medical Center
Dingle, County Kerry, Ireland
Closes soon ⋅ 5 pm","Dingle, County Kerry, Ireland",,+353 66 915 1777,https://www2.hse.ie/apps/services/primarycarecenters.aspx
Listowel Community Hospital,"Hospital
Listowel, County Kerry, Ireland
Open ⋅ Closes 6 pm","Listowel, County Kerry, Ireland",,+353 68 21022,http://www.hse.ie/
St. John's Community Hospital,"Hospital
Enniscorthy, County Wexford, Ireland
Open 24 hours","Enniscorthy, County Wexford, Ireland",,+353 53 923 3228,N/A
Hospital Health Centre,"Medical Center
Hospital, County Limerick, Ireland
Closes soon ⋅ 5 pm","Hospital, County Limerick, Ireland",,+353 61 383 031,https://www2.hse.ie/services/primary-care-centres/hospital-health-centre/
Bon Secours Hospital Limerick at Barringtons,"Hospital
Limerick, Ireland
Open ⋅ Closes 9 pm","Limerick, Ireland",,+353 61 490 500,https://www.bonsecours.ie/limerick
Carlow District Hospital,"Hospital
Carlow, Ireland
Open now","Carlow, Ireland",,+353 59 913 6458,N/A
Kingsbridge Private Hospital North West,"Hospital
Limavady, United Kingdom
Open ⋅ Closes 9 pm","Limavady, United Kingdom",,+44 28 7776 3090,https://www.kingsbridgeprivatehospital.com/north-west/
South Tyrone Hospital,"Hospital
United Kingdom
Open ⋅ Closes 9 pm",United Kingdom,,+44 28 8772 2821,https://southerntrust.hscni.net/
Ulster Hospital,"General hospital
Belfast, United Kingdom
Open 24 hours","Belfast, United Kingdom",,+44 28 9048 4511,https://setrust.hscni.net/our-hospitals/ulsterhospital/
Sacred Heart Hospital,"Hospital
Castlebar, County Mayo, Ireland
Open 24 hours","Castlebar, County Mayo, Ireland",,+353 94 902 1122,http://www.hse.ie/
Mater Private Network Cork,"Private hospital
Cork, Ireland
Open 24 hours","Cork, Ireland",,+353 21 601 3200,http://www.materprivate.ie/cork/
St Patrick's University Hospital,"Hospital
Dublin 8, Ireland
+353 1 249 3200
	
""Vast majority of staff are amazing, helpful people.""
WEBSITE
	
DIRECTIONS","Dublin 8, Ireland",,N/A,http://www.stpatricks.ie/
Kinsale Community Hospital,"Hospital
Kinsale, County Cork, Ireland
Open now","Kinsale, County Cork, Ireland",,+353 21 477 2202,N/A
Mater Private Network,"Private hospital
Dublin, Ireland
Open 24 hours","Dublin, Ireland",,+353 1800 123 456,http://www.materprivate.ie/
South West Acute Hospital,"Hospital
Enniskillen, United Kingdom
Open 24 hours","Enniskillen, United Kingdom",,+44 28 6638 2000,https://westerntrust.hscni.net/hospitals/south-west-acute-hospital/
Mid Ulster Hospital,"Hospital
Magherafelt, United Kingdom
Closes soon ⋅ 5 pm","Magherafelt, United Kingdom",,+44 28 9442 4000,https://www.northerntrust.hscni.net/hospitals/mid-ulster-hospital/
Antrim Area Hospital,"Government hospital
United Kingdom
Open ⋅ Closes 9 am Sat",United Kingdom,,+44 28 9442 4000,http://www.northerntrust.hscni.net/hospitals/antrim-area-hospital/
Altnagelvin Hospital,"Hospital
Londonderry, United Kingdom
Open 24 hours","Londonderry, United Kingdom",,+44 28 7134 5171,https://westerntrust.hscni.net/hospitals/altnagelvin-area-hospital/
Leopardstown Park Hospital,"Hospital
Dublin 18, Ireland
Open ⋅ Closes 9 pm","Dublin 18, Ireland",,+353 1 295 5055,http://www.lph.ie/
St Patrick's Hospital,"Hospital
Lucan, County Dublin, Ireland
Open now","Lucan, County Dublin, Ireland",,+353 1 628 0221,https://www.stpatricks.ie/care-treatment/inpatient-hospital-care/st-patricks-lucan
St Vincent's University Hospital - Emergency Department,"Hospital
Dublin 4, Ireland
Open 24 hours","Dublin 4, Ireland",,+353 1 221 4358,https://www.stvincents.ie/emergency-department/
New Children's Hospital (Main Office),"Hospital
Dublin 8, Ireland
Closes soon ⋅ 5 pm","Dublin 8, Ireland",,+353 1 556 4500,http://www.newchildrenshospital.ie/
The National Maternity Hospital,"Maternity hospital
Dublin, Ireland
Open 24 hours","Dublin, Ireland",,+353 1 637 3100,http://www.nmh.ie/
Clifden District Hospital,"Hospital
Clifden, County Galway, Ireland
+353 95 21301
DIRECTIONS","Clifden, County Galway, Ireland",,N/A,N/A
Kingsbridge Sligo Private Hospital,"Private hospital
Sligo, Ireland
Open now","Sligo, Ireland",,+353 71 916 2649,https://kingsbridgeprivatehospital.com/sligo/
Lurgan Hospital,"Government hospital
Craigavon, United Kingdom
Open 24 hours","Craigavon, United Kingdom",,+44 28 3832 3262,https://southerntrust.hscni.net/our-hospitals/lurgan-hospital/
Lagan Valley Hospital,"General hospital
Lisburn, United Kingdom
Open ⋅ Closes 6 pm","Lisburn, United Kingdom",,+44 28 9266 5141,https://setrust.hscni.net/our-hospitals/hospital-3/
Sacred Heart Hospital.,"Hospital
Roscommon, Ireland
Open 24 hours","Roscommon, Ireland",,+353 90 662 6130,http://www.hse.ie/
"St John of God Hospital, Stillorgan","Psychiatric hospital
Blackrock, County Dublin, Ireland
Open 24 hours","Blackrock, County Dublin, Ireland",,+353 1 277 1400,http://www.stjohnofgodhospital.ie/
Peamount Hospital,"Hospital
County Dublin, Ireland
Open now
	
""4 week in day looking After you.""
DIRECTIONS","County Dublin, Ireland",,N/A,N/A
National Children's Hospital,"Children's hospital
Dublin 24, Ireland
Open 24 hours","Dublin 24, Ireland",,+353 1 414 2000,http://tuh.ie/
Killarney Community Hospital,"Hospital
Killarney, County Kerry, Ireland
Open 24 hours","Killarney, County Kerry, Ireland",,+353 64 663 1018,http://www.hse.ie/
New Ross Community Hospital,"Hospital
New Ross, County Wexford, Ireland
Open now","New Ross, County Wexford, Ireland",,+353 51 421 305,https://nrch.ie/
Hospital Medical Centre,"Medical clinic
Hospital, County Limerick, Ireland
Open ⋅ Closes 5:15 pm","Hospital, County Limerick, Ireland",,+353 61 383 715,https://hospitalmedicalcentre.ie/
St. Brigid's Hospital,"Medical Center
Ardee, County Louth, Ireland
Open ⋅ Closes 6 pm","Ardee, County Louth, Ireland",,+353 41 685 3264,https://www2.hse.ie/services/primary-care-centres/
Armagh Community Hospital,"Hospital
Armagh, United Kingdom
Open now","Armagh, United Kingdom",,+44 28 3756 6562,https://southerntrust.hscni.net/
St Bricin's Military Hospital,"Military hospital
Dublin 7, Ireland
Closes soon ⋅ 4:30 pm","Dublin 7, Ireland",,+353 1 804 6900,https://www.military.ie/en/public-information/defence-forces-families/contact-information/
Omagh Hospital & Primary Care Complex,"Hospital
Omagh, United Kingdom
Open 24 hours","Omagh, United Kingdom",,+44 28 8283 3100,http://www.westerntrust.hscni.net/
Craigavon Area Hospital,"Government hospital
Craigavon, United Kingdom
Open 24 hours","Craigavon, United Kingdom",,+44 28 3833 4444,https://southerntrust.hscni.net/our-hospitals/craigavon-area-hospital/
"Mater Private Day Hospital, Cherrywood","Hospital
Dublin, Ireland
Open ⋅ Closes 8 pm","Dublin, Ireland",,+353 1 698 4860,https://www.dayhospital.ie/
Mount Carmel Community Hospital,"Hospital
Dublin 14, Ireland
Open now","Dublin 14, Ireland",,+353 1 491 8000,https://www.mowlamhealthcare.com/mount-carmel-hospital/
St Theresas District Hospital,"Hospital
Clogheen, County Tipperary, Ireland
Open now","Clogheen, County Tipperary, Ireland",,+353 52 746 5205,N/A
Mater Infirmorum Hospital,"Hospital
Belfast, United Kingdom
Open 24 hours","Belfast, United Kingdom",,+44 28 9074 1211,http://www.belfasttrust.hscni.net/hospitals/mater/
Clonskeagh Hospital,"Hospital
County Dublin, Ireland
WEBSITE
	
DIRECTIONS","County Dublin, Ireland",,N/A,https://www.hse.ie/
Our Lady's Hospital for Sick Children,"Hospital
Dublin 12, Ireland
Open 24 hours","Dublin 12, Ireland",,+353 1 409 6326,https://www2.hse.ie/services/find-urgent-emergency-care/childrens-health-ireland-at-crumlin-emergency-department/
Clonakilty Community Hospital,"Hospital
Clonakilty, County Cork, Ireland
Open now","Clonakilty, County Cork, Ireland",,+353 23 883 3205,N/A
Belfast City Hospital,"University hospital
Belfast, United Kingdom
Open 24 hours","Belfast, United Kingdom",,+44 28 9032 9241,http://www.belfasttrust.hscni.net/
Dundalk hospital,"Hospital
Dundalk, County Louth, Ireland
Open now
	
""It was grand ....staff very nice.....and I wasn't waiting long""
DIRECTIONS","Dundalk, County Louth, Ireland",,N/A,N/A
(Old) Meath Hospital,"Hospital
Dublin, Ireland
Open now
	
""It only took 10minutes.""
WEBSITE
	
DIRECTIONS","Dublin, Ireland",,N/A,http://www.hse.ie/
Highfield Healthcare - Alzheimer’s Care Centre,"Hospital
Dublin, Ireland
Open now","Dublin, Ireland",,+353 1 837 4444,http://www.highfieldhealthcare.ie/
Central Mental Hospital,"Hospital
Portrane Demesne, County Dublin, Ireland
Closes soon ⋅ 5 pm","Portrane Demesne, County Dublin, Ireland",,+353 1 215 7400,http://www.hse.ie/
St Patricks Community Hospital,"Hospital
Carrick On Shannon, County Leitrim, Ireland
Open now","Carrick On Shannon, County Leitrim, Ireland",,+353 71 962 0011,http://www.hse.ie/
"St Vincent's Hospital, Fairview","Psychiatric hospital
Dublin 3, Ireland
Open now","Dublin 3, Ireland",,+353 1 884 2400,http://www.svhf.ie/
Irish Hospital Supplies Limited,"Medical equipment supplier
Bray, County Wicklow, Ireland
Open now","Bray, County Wicklow, Ireland",,+353 1 282 9016,N/A
University Maternity Hospital Limerick,"Hospital
Limerick, Ireland
Open 24 hours","Limerick, Ireland",,+353 61 483 129,https://www2.hse.ie/services/hospitals/university-maternity-hospital-limerick/
Community Hospital,"Hospital
Belmullet, County Mayo, Ireland
+353 97 81301
WEBSITE
	
DIRECTIONS","Belmullet, County Mayo, Ireland",,N/A,http://www.hse.ie/
Wicklow Primary Healthcare Centre,"Medical Center
Wicklow, Ireland
Closes soon ⋅ 5 pm","Wicklow, Ireland",,+353 404 30401,http://www.wphc.ie/
Rcsi Hospitals Group,"Medical Center
Dublin, Ireland
WEBSITE
	
DIRECTIONS","Dublin, Ireland",N/A,N/A,https://rcsihospitals.ie/
St Luke's Hospital,"General hospital
Armagh, United Kingdom
Open now","Armagh, United Kingdom",,+44 28 3752 2381,https://southerntrust.hscni.net/
St. Joseph's Hospital ennis to station road ennis,"Hospital
Ennis, County Clare, Ireland
Open now","Ennis, County Clare, Ireland",,+353 65 684 0666,N/A
Beacon Limerick,"Medical clinic
Limerick, Ireland
Closes soon ⋅ 5 pm","Limerick, Ireland",,+353 61 233 000,https://www.beaconhospital.ie/limerick/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-beacon-limerick
Beaumont Private Clinic,"Private hospital
Dublin 9, Ireland
Open ⋅ Closes 6 pm","Dublin 9, Ireland",,+353 1 837 5400,http://www.beaumontprivate.ie/
Emergency Department at Temple Street Children's Hospital,"Hospital
Dublin 1, Ireland
Open 24 hours","Dublin 1, Ireland",,+353 1 878 4200,https://www2.hse.ie/services/find-urgent-emergency-care/childrens-health-ireland-at-temple-street-emergency-department/
Medical Council of Ireland,"Federal government office
Dublin 2, Ireland
Closes soon ⋅ 5 pm","Dublin 2, Ireland",,+353 1 498 3100,https://www.medicalcouncil.ie/
Forster Green Hospital,"General hospital
Belfast, United Kingdom
Closed ⋅ Opens 7 pm","Belfast, United Kingdom",,+44 28 9079 3681,http://www.belfasttrust.hscni.net/ForsterGreenHospital.htm
Saint Loman's Hospital,"Hospital
Lucan, County Dublin, Ireland
+353 1 626 4077
	
""amazing services and the staff are amazing""
DIRECTIONS","Lucan, County Dublin, Ireland",,N/A,N/A
St. Otteran's Hospital,"Psychiatric hospital
Waterford, Ireland
Open now","Waterford, Ireland",,+353 51 848 600,N/A
Blackrock Health Limerick Clinic,"Hospital
Limerick, Ireland
Open ⋅ Closes 8 pm","Limerick, Ireland",,+353 1800 784 000,https://www.blackrockhealth.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing-lc
HSE - Dublin North East Health Centre,"Hospital
Dublin, Ireland
Closes soon ⋅ 5 pm","Dublin, Ireland",,+353 1 921 4200,N/A
HSE Kildare Primary Care Centre,"Medical Center
Kildare, Ireland
Closes soon ⋅ 5 pm","Kildare, Ireland",,+353 45 908 500,https://www.hse.ie/eng/services/list/1/lho/kildare-west-wicklow/health-centres/
Health Service Executive,"Government hospital
Sligo, Ireland
Open 24 hours","Sligo, Ireland",,+353 71 914 2606,http://www.hse.ie/
Saint Canice's Psychiatric Hospital,"Psychiatric hospital
Kilkenny, Ireland
Open now
DIRECTIONS","Kilkenny, Ireland",,N/A,N/A
Johnstown Medical Centre,"Medical Center
Dún Laoghaire, County Dublin, Ireland
Open ⋅ Closes 6 pm","Dún Laoghaire, County Dublin, Ireland",,+353 1 285 5800,http://www.johnstownmed.ie/
Merrion Gates Medical Centre,"Medical Center
Dublin 4, Ireland
Closes soon ⋅ 5 pm","Dublin 4, Ireland",,+353 1 269 1876,http://www.merriongatesmc.com/
North Monaghan Primary Care Centre,"Hospital
Monaghan, Ireland
Open ⋅ Closes 6 pm","Monaghan, Ireland",,+353 47 95500,https://www.hse.ie/eng/services/list/2/primarycare/pcteams/cavanmonaghanpcts/monaghanapct/
Children in Hospital Ireland,"Charity
Dublin, Ireland
Closes soon ⋅ 5 pm","Dublin, Ireland",,+353 1 290 3510,N/A
Ballymun Healthcare Facility,"Medical Center
Dublin 9, Ireland
+353 1 846 7000
	
""The Gentleman on reception was ever so helpful.""
WEBSITE
	
DIRECTIONS","Dublin 9, Ireland",,N/A,http://www.hse.ie/eng/services/list/1/LHO/DubNCentral/Health_Centres/Health_Centres_in_Dublin_North_Central.html
St. Loman's Hospital,"Hospital
Mullingar, County Westmeath, Ireland
+353 44 934 0191
	
""Dr Ali was so professional and kind.""
WEBSITE
	
DIRECTIONS","Mullingar, County Westmeath, Ireland",,N/A,http://www.hse.ie/
Tallaght University Hospital Accident and Emergency,"Hospital
Dublin 24, Ireland
Open 24 hours","Dublin 24, Ireland",,+353 1 414 2000,https://www.tuh.ie/Emergency-Services/
Century Day Hospital,"Hospital
Dublin, Ireland
+353 1 844 3261
DIRECTIONS","Dublin, Ireland",,N/A,N/A
Shannon Doc Limerick Health Centre,"Hospital
County Limerick, Ireland
Closed ⋅ Opens 6 pm","County Limerick, Ireland",,+353 818 123 500,http://www.shannondoc.ie/
UPMC Sports Surgery Clinic (SSC),"Hospital
Dublin, Ireland
Open ⋅ Closes 11 pm","Dublin, Ireland",,+353 1 526 2000,http://www.sportssurgeryclinic.com/
Wilton Medical Centre,"Hospital
Nenagh, County Tipperary, Ireland
+353 67 33033
DIRECTIONS","Nenagh, County Tipperary, Ireland",,N/A,N/A
Peamount Healthcare,"Rehabilitation center
Newcastle, County Dublin, Ireland
+353 1 601 0300
	
""Exceptional Caring Staff throughout every department.""
WEBSITE
	
DIRECTIONS","Newcastle, County Dublin, Ireland",,N/A,https://www.peamount.ie/
Cork University Maternity Hospital,"Maternity hospital
Cork, Ireland
Open now","Cork, Ireland",,+353 21 492 0500,http://www.cuh.hse.ie/Cork-University-Maternity-Hospital/
"St. Gabriel's Ward, Mater Misericordiae University Hospital","Hospital department
Dublin, Ireland
Open now
	
""Lovely staff.""
DIRECTIONS","Dublin, Ireland",,N/A,N/A
"Shannon Doc, Hospital Health Centre","Medical Center
Hospital, County Limerick, Ireland
Closed ⋅ Opens 6 pm","Hospital, County Limerick, Ireland",,+353 818 123 500,https://www.shannondoc.ie/
Renew Health,"Medical Center
Athlone, County Westmeath, Ireland
Open ⋅ Closes 5:30 pm","Athlone, County Westmeath, Ireland",,+353 90 646 5460,http://www.renewhealthlimited.com/
Ballinderry Clinic,"Private hospital
Mullingar, County Westmeath, Ireland
Closes soon ⋅ 5 pm","Mullingar, County Westmeath, Ireland",,+353 44 932 9900,http://www.ballinderryclinic.ie/
The Adelaide and Meath Hospital (Tallaght Hospital) Dublin,"Hospital
Dublin, Ireland
Open now","Dublin, Ireland",N/A,+353 1 414 2000,N/A
