Institute Name,Institute Type,Location,Total Rating,Phone Number,Website Link
The Park Hospital,"Hospital
Nottingham, United Kingdom
Open ⋅ Closes 9 pm","Nottingham, United Kingdom",,+44 115 966 2000,https://www.circlehealthgroup.co.uk/hospitals/the-park-hospital?utm_source=google&utm_medium=googlelocal&utm_campaign=bmipark
The London Independent Hospital,"Hospital
London, United Kingdom
Open ⋅ Closes 8 pm","London, United Kingdom",,+44 20 7780 2400,https://www.circlehealthgroup.co.uk/hospitals/the-london-independent-hospital?utm_source=google&utm_medium=googlelocal&utm_campaign=bmilih
Freeman Hospital,"General hospital
Newcastle upon Tyne, United Kingdom
Open 24 hours","Newcastle upon Tyne, United Kingdom",,+44 191 233 6161,https://www.newcastle-hospitals.nhs.uk/hospitals/freeman-hospital/
The Royal London Hospital,"General hospital
London, United Kingdom
Open 24 hours","London, United Kingdom",,+44 20 7377 7000,https://www.bartshealth.nhs.uk/the-royal-london
Royal Free Hospital,"General hospital
London, United Kingdom
Open 24 hours","London, United Kingdom",,+44 20 7794 0500,http://www.royalfree.nhs.uk/
Thornbury Hospital,"Hospital
Sheffield, United Kingdom
Open ⋅ Closes 10 pm","Sheffield, United Kingdom",,+44 114 266 1133,https://www.circlehealthgroup.co.uk/hospitals/thornbury-hospital?utm_source=google&utm_medium=googlelocal&utm_campaign=bmithornbury
Westmorland General Hospital,"General hospital
United Kingdom
Open ⋅ Closes 10 pm",United Kingdom,,+44 1539 732288,https://www.uhmb.nhs.uk/visiting-our-hospitals/parking-facilities/westmorland-general-hospital
"The Portland Hospital, part of HCA Healthcare UK","Maternity hospital
London, United Kingdom
Open 24 hours","London, United Kingdom",,+44 20 3993 3972,https://www.hcahealthcare.co.uk/locations/hospitals/the-portland-hospital?utm_source=GoogleMyBusiness&utm_medium=referral&utm_campaign=ThePortlandHospital&y_source=1_NTI1MzYyMTUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Royal Stoke University Hospital,"University hospital
Stoke-on-Trent, United Kingdom
Open 24 hours","Stoke-on-Trent, United Kingdom",,+44 1782 715444,http://www.uhnm.nhs.uk/
Royal Derby Hospital,"General hospital
Derby, United Kingdom
Open 24 hours","Derby, United Kingdom",,+44 1332 340131,https://www.uhdb.nhs.uk/royal-derby-hospital-getting-to
North Middlesex University Hospital,"University hospital
London, United Kingdom
Open 24 hours","London, United Kingdom",,+44 20 8887 2000,http://www.northmid.nhs.uk/
The Huddersfield Hospital,"Hospital
United Kingdom
Open 24 hours",United Kingdom,,+44 1484 533131,https://www.circlehealthgroup.co.uk/hospitals/the-huddersfield-hospital?utm_source=google&utm_medium=googlelocal&utm_campaign=huddersfield
The Priory Hospital,"Hospital
Birmingham, United Kingdom
Open ⋅ Closes 9 pm","Birmingham, United Kingdom",,+44 121 440 2323,https://www.circlehealthgroup.co.uk/hospitals/the-priory-hospital?utm_source=google&utm_medium=googlelocal&utm_campaign=bmipriory
Central Middlesex Hospital,"Hospital
London, United Kingdom
Open ⋅ Closes 12 am","London, United Kingdom",,+44 20 8965 5733,https://www.lnwh.nhs.uk/central-middlesex-hospital/
The Hampshire Clinic,"Hospital
Basingstoke, United Kingdom
Open 24 hours","Basingstoke, United Kingdom",,+44 1256 357111,https://www.circlehealthgroup.co.uk/hospitals/the-hampshire-clinic?utm_source=google&utm_medium=googlelocal&utm_campaign=bmihampshire
Royal Victoria Infirmary,"General hospital
Newcastle upon Tyne, United Kingdom
Open 24 hours","Newcastle upon Tyne, United Kingdom",,+44 191 233 6161,https://www.newcastle-hospitals.nhs.uk/hospitals/royal-victoria-infirmary/
The Runnymede Hospital,"Hospital
Chertsey, United Kingdom
Open ⋅ Closes 8 pm","Chertsey, United Kingdom",,+44 1932 877800,https://www.circlehealthgroup.co.uk/hospitals/the-runnymede-hospital?utm_source=google&utm_medium=googlelocal&utm_campaign=bmirunnymede
The Highfield Hospital,"Hospital
Rochdale, United Kingdom
Open ⋅ Closes 8 pm","Rochdale, United Kingdom",,+44 1706 655121,https://www.circlehealthgroup.co.uk/hospitals/the-highfield-hospital?utm_source=google&utm_medium=googlelocal&utm_campaign=bmihighfield
Salford Royal,"Hospital
Salford, United Kingdom
Open 24 hours","Salford, United Kingdom",,+44 161 789 7373,http://www.northerncarealliance.nhs.uk/
Wansbeck General Hospital,"General hospital
Ashington, United Kingdom
Open ⋅ Closes 10 pm","Ashington, United Kingdom",,+44 344 811 8111,https://www.northumbria.nhs.uk/our-locations/wansbeck-general-hospital
Woodlands Hospital,"Hospital
Darlington, United Kingdom
Open ⋅ Closes 8:30 pm","Darlington, United Kingdom",,+44 1325 341700,https://www.circlehealthgroup.co.uk/hospitals/woodlands-hospital?utm_source=google&utm_medium=googlelocal&utm_campaign=bmiwoodlands
Buckshaw Hospital,"Private hospital
Chorley, United Kingdom
Open 24 hours","Chorley, United Kingdom",,+44 1257 444828,https://www.ramsayhealth.co.uk/hospitals/buckshaw-hospital
KIMS Hospital,"Private hospital
Maidstone, United Kingdom
Open now","Maidstone, United Kingdom",,+44 1622 237500,https://kims.org.uk/?utm_source=google&utm_medium=organic&utm_campaign=local&utm_content=kims
Chesterfield Royal Hospital,"General hospital
Chesterfield, United Kingdom
Open 24 hours","Chesterfield, United Kingdom",,+44 1246 277271,https://www.chesterfieldroyal.nhs.uk/
Royal Hallamshire Hospital,"General hospital
Sheffield, United Kingdom
Open 24 hours","Sheffield, United Kingdom",,+44 114 271 1900,http://www.sth.nhs.uk/our-hospitals/royal-hallamshire-hospital
Weymouth Street Hospital,"Private hospital
London, United Kingdom
Open ⋅ Closes 8 pm","London, United Kingdom",,+44 20 7935 1200,https://www.phoenixhospitalgroup.com/our-locations/weymouth-street-hospital/?utm_source=Organic&utm_medium=GMB&utm_campaign=Weymouth
Royal Bolton Hospital,"Government hospital
United Kingdom
Open 24 hours",United Kingdom,,+44 1204 390390,https://www.boltonft.nhs.uk/
King's College Hospital,"University hospital
London, United Kingdom
Open 24 hours","London, United Kingdom",,+44 20 3299 9000,https://www.kch.nhs.uk/
Hammersmith Hospital,"Government hospital
London, United Kingdom
Open 24 hours","London, United Kingdom",,+44 20 3313 1000,https://www.imperial.nhs.uk/our-locations/hammersmith-hospital
University Hospital of North Durham,"University hospital
Durham, United Kingdom
Open 24 hours","Durham, United Kingdom",,+44 191 333 2333,N/A
Kettering General Hospital,"Government hospital
Kettering, United Kingdom
Open 24 hours","Kettering, United Kingdom",,+44 1536 492000,http://www.kgh.nhs.uk/
"The Harley Street Clinic, part of HCA Healthcare UK","Private hospital
London, United Kingdom
Open 24 hours","London, United Kingdom",,+44 20 3131 7479,https://www.hcahealthcare.co.uk/locations/hospitals/the-harley-street-clinic?utm_source=GoogleMyBusiness&utm_medium=referral&utm_campaign=TheHarleyStreetClinic&y_source=1_NTI1MzYyMjQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Warrington Hospital,"General hospital
Warrington, United Kingdom
Open ⋅ Closes 9 pm","Warrington, United Kingdom",,+44 1925 635911,http://www.whh.nhs.uk/
Sunderland Royal Hospital,"General hospital
Sunderland, United Kingdom
Open 24 hours","Sunderland, United Kingdom",,+44 191 565 6256,https://www.stsft.nhs.uk/
John Radcliffe Hospital,"General hospital
Oxford, United Kingdom
Open 24 hours","Oxford, United Kingdom",,+44 300 304 7777,https://www.ouh.nhs.uk/hospitals/jr/
Ross Hall Hospital,"Hospital
Glasgow, United Kingdom
Open ⋅ Closes 11 pm","Glasgow, United Kingdom",,+44 141 810 3151,https://www.circlehealthgroup.co.uk/hospitals/ross-hall-hospital?utm_source=google&utm_medium=googlelocal&utm_campaign=rosshall
Royal Oldham Hospital,"General hospital
Oldham, United Kingdom
Open 24 hours","Oldham, United Kingdom",,+44 161 624 0420,https://www.northerncarealliance.nhs.uk/oldham-care-organisation
"The Harborne Hospital, part of HCA Healthcare UK","Hospital
Birmingham, United Kingdom
Open 24 hours","Birmingham, United Kingdom",,+44 121 468 2748,https://www.hcahealthcare.co.uk/locations/hospitals/the-harborne-hospital?utm_source=GoogleMyBusiness&utm_medium=referral&utm_campaign=The-Harborne-Hospital&y_source=1_MTAxMTI2MDkzNS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Borders General Hospital,"General hospital
Melrose, United Kingdom
Open 24 hours","Melrose, United Kingdom",,+44 1896 826000,N/A
Royal London Hospital for Integrated Medicine,"Hospital
London, United Kingdom
Open 24 hours","London, United Kingdom",,+44 20 3456 7890,https://www.uclh.nhs.uk/our-services/our-hospitals/royal-london-hospital-integrated-medicine
Spire Washington Hospital,"Private hospital
Washington, United Kingdom
Open ⋅ Closes 9 pm","Washington, United Kingdom",,+44 191 415 1272,https://www.spirehealthcare.com/spire-washington-hospital/?utm_source=google&utm_medium=organic&utm_campaign=Hospital_GMB
Cumberland Infirmary,"General hospital
Carlisle, United Kingdom
Open 24 hours","Carlisle, United Kingdom",,+44 1228 523444,http://www.ncuh.nhs.uk/
Albyn Hospital,"Hospital
Aberdeen, United Kingdom
Open ⋅ Closes 9 pm","Aberdeen, United Kingdom",,+44 1224 595993,https://www.circlehealthgroup.co.uk/hospitals/albyn-hospital?utm_source=google&utm_medium=googlelocal&utm_campaign=bmialbyn
University Hospital of North Tees,"University hospital
Stockton-on-Tees, United Kingdom
Open 24 hours","Stockton-on-Tees, United Kingdom",,+44 1642 617617,https://www.nth.nhs.uk/
Royal United Hospital,"Government hospital
Avon, United Kingdom
Open 24 hours","Avon, United Kingdom",,+44 1225 428331,https://www.ruh.nhs.uk/
University College Hospital at Westmoreland Street,"Hospital
London, United Kingdom
Open ⋅ Closes 8 pm","London, United Kingdom",,+44 20 3456 7890,https://www.uclh.nhs.uk/our-services/our-hospitals/university-college-hospital-westmoreland-street
North Tyneside General Hospital,"General hospital
North Shields, United Kingdom
Open ⋅ Closes 10 pm","North Shields, United Kingdom",,+44 344 811 8111,https://www.northumbria.nhs.uk/our-locations/north-tyneside-general-hospital
Dorset County Hospital,"General hospital
Dorchester, United Kingdom
Open 24 hours","Dorchester, United Kingdom",,+44 1305 251150,https://www.dchft.nhs.uk/
Bensham Hospital,"Hospital
Gateshead, United Kingdom
Closes soon ⋅ 5 pm","Gateshead, United Kingdom",,+44 191 445 5231,https://www.gatesheadhealth.nhs.uk/hospitals/bensham/
Scarborough General Hospital,"General hospital
Scarborough, United Kingdom
Open 24 hours","Scarborough, United Kingdom",,+44 1723 368111,http://www.yorkhospitals.nhs.uk/
Hexham General Hospital,"General hospital
Hexham, United Kingdom
Open ⋅ Closes 10 pm","Hexham, United Kingdom",,+44 344 811 8111,https://www.northumbria.nhs.uk/our-locations/hexham-general-hospital
Broadgreen Hospital,"Hospital
United Kingdom
Open 24 hours",United Kingdom,,+44 151 706 2000,https://www.rlbuht.nhs.uk/
Good Hope Hospital,"General hospital
Birmingham, United Kingdom
Open 24 hours","Birmingham, United Kingdom",,+44 121 424 2000,https://www.uhb.nhs.uk/about/sites/good-hope-hospital.htm
Huddersfield Royal Infirmary,"Hospital
United Kingdom
Open 24 hours",United Kingdom,,+44 1484 342000,http://www.cht.nhs.uk/
University Hospital Monklands,"University hospital
Airdrie, United Kingdom
Open 24 hours","Airdrie, United Kingdom",,+44 1236 748748,https://www.nhslanarkshire.scot.nhs.uk/hospitals/university-hospital-monklands/
Birmingham Heartlands Hospital,"General hospital
Birmingham, United Kingdom
Open ⋅ Closes 8 pm","Birmingham, United Kingdom",,+44 121 424 2000,http://www.heartofengland.nhs.uk/
Ormskirk District General Hospital,"General hospital
Ormskirk, United Kingdom
Open ⋅ Closes 12 am","Ormskirk, United Kingdom",,+44 1695 577111,https://www.merseywestlancs.nhs.uk/
Eastbourne District General Hospital,"General hospital
Eastbourne, United Kingdom
Open 24 hours","Eastbourne, United Kingdom",,+44 300 131 4500,http://www.esht.nhs.uk/eastbournedgh/
Liverpool Heart and Chest Hospital,"Heart hospital
Liverpool, United Kingdom
Open 24 hours","Liverpool, United Kingdom",,+44 151 600 1616,http://www.lhch.nhs.uk/
University College Hospital,"University hospital
London, United Kingdom
Open 24 hours","London, United Kingdom",,+44 20 3456 7890,https://www.uclh.nhs.uk/our-services/our-hospitals/university-college-hospital
Queen Elizabeth Hospital Birmingham,"University hospital
Birmingham, United Kingdom
Closes soon ⋅ 4:30 pm","Birmingham, United Kingdom",,+44 121 627 2000,http://www.uhb.nhs.uk/
The Walton Centre,"Specialized hospital
Liverpool, United Kingdom
Open 24 hours","Liverpool, United Kingdom",,+44 151 525 3611,http://www.thewaltoncentre.nhs.uk/
Cleveland Clinic London Hospital,"Hospital
London, United Kingdom
Open 24 hours","London, United Kingdom",,+44 20 3423 7500,http://www.clevelandcliniclondon.uk/
Belford Hospital,"General hospital
Fort William, United Kingdom
Open 24 hours","Fort William, United Kingdom",,+44 1397 702481,https://www.nhshighland.scot.nhs.uk/your-services/in-person-services-and-locations/hospitals/belford-hospital-fort-william/
Euxton Hall Hospital,"Private hospital
United Kingdom
Open 24 hours",United Kingdom,,+44 1257 276261,https://www.ramsayhealth.co.uk/hospitals/euxton-hall-hospital
East Cheshire NHS Trust,"General hospital
Macclesfield, United Kingdom
Open 24 hours","Macclesfield, United Kingdom",,+44 1625 421000,http://www.eastcheshire.nhs.uk/
Oaklands Hospital,"Private hospital
Salford, United Kingdom
Open 24 hours","Salford, United Kingdom",,+44 161 787 7700,https://www.ramsayhealth.co.uk/hospitals/oaklands-hospital
Royal Shrewsbury Hospital,"General hospital
Shrewsbury, United Kingdom
Open 24 hours","Shrewsbury, United Kingdom",,+44 1743 261000,http://www.sath.nhs.uk/
Tees Valley Hospital,"Private hospital
United Kingdom
Open 24 hours",United Kingdom,,+44 1642 087333,https://www.ramsayhealth.co.uk/hospitals/tees-valley-hospital
Aintree University Hospital,"University hospital
Liverpool, United Kingdom
Open 24 hours","Liverpool, United Kingdom",,+44 151 525 5980,http://www.aintreehospital.nhs.uk/
Watford General Hospital,"General hospital
United Kingdom
Open 24 hours",United Kingdom,,+44 1923 244366,https://www.westhertshospitals.nhs.uk/about/watfordgeneralhospital.asp
Royal Infirmary of Edinburgh,"General hospital
Edinburgh, United Kingdom
Open 24 hours","Edinburgh, United Kingdom",,+44 131 536 1000,https://www.nhslothian.scot/
St Thomas' Hospital,"General hospital
London, United Kingdom
Open 24 hours","London, United Kingdom",,+44 20 7188 7188,https://www.guysandstthomas.nhs.uk/
Trafford General Hospital,"General hospital
Manchester, United Kingdom
Open ⋅ Closes 8 pm","Manchester, United Kingdom",,+44 161 748 4022,https://mft.nhs.uk/trafford/
"The Christie Private Care, part of HCA Healthcare UK","Medical Center
Manchester, United Kingdom
Open 24 hours","Manchester, United Kingdom",,+44 20 3553 5134,https://www.hcahealthcare.co.uk/locations/hospitals/the-christie-private-care?utm_source=GoogleMyBusiness&utm_medium=referral&utm_campaign=TheChristie&y_source=1_NTI1MzYyMTYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
University Hospital Wishaw,"General hospital
Wishaw, United Kingdom
Open 24 hours","Wishaw, United Kingdom",,+44 1698 361100,https://www.nhslanarkshire.scot.nhs.uk/hospitals/university-hospital-wishaw/
Furness General Hospital,"Hospital
Barrow-in-Furness, United Kingdom
Open 24 hours","Barrow-in-Furness, United Kingdom",,+44 1229 870870,https://www.uhmb.nhs.uk/visiting-our-hospitals/parking-facilities/furness-general-hospital
The Chaucer Hospital,"Hospital
Canterbury, United Kingdom
Open 24 hours","Canterbury, United Kingdom",,+44 1227 825100,https://www.circlehealthgroup.co.uk/hospitals/the-chaucer-hospital?utm_source=google&utm_medium=googlelocal&utm_campaign=bmichaucer
Shotley Bridge Hospital,"Hospital
Consett, United Kingdom
Open 24 hours","Consett, United Kingdom",,+44 191 333 2333,http://www.cddft.nhs.uk/
Midland Metropolitan University Hospital,"University hospital
Smethwick, United Kingdom
Open 24 hours","Smethwick, United Kingdom",,+44 121 553 1831,https://www.swbh.nhs.uk/our-new-hospital/
Whiston Hospital,"General hospital
Prescot, United Kingdom
Open 24 hours","Prescot, United Kingdom",,+44 151 426 1600,https://www.sthk.nhs.uk/whiston-hospital
Queen's Hospital,"Government hospital
Romford, United Kingdom
Open 24 hours","Romford, United Kingdom",,+44 330 400 4333,https://www.bhrhospitals.nhs.uk/
Hull Royal Infirmary,"University hospital
United Kingdom
Open 24 hours",United Kingdom,,+44 1482 875875,https://www.hey.nhs.uk/
Ramsay Health Care UK,"Private hospital
London, United Kingdom
Closes soon ⋅ 5 pm","London, United Kingdom",,+44 20 7847 2850,https://www.ramsayhealth.co.uk/
Barts Health NHS Trust,"Hospital
London, United Kingdom
Open 24 hours","London, United Kingdom",,+44 20 7377 7000,https://www.bartshealth.nhs.uk/
York Hospital,"General hospital
York, United Kingdom
Open 24 hours","York, United Kingdom",,+44 1904 631313,https://www.yorkhospitals.nhs.uk/
Nuffield Health Leeds Hospital,"Private hospital
Leeds, United Kingdom
Open ⋅ Closes 7 pm","Leeds, United Kingdom",,+44 113 322 7251,https://www.nuffieldhealth.com/hospitals/leeds?utm_source=google&utm_medium=local&utm_campaign=GoogleLocal-Leeds-Hospital
Spire Murrayfield Hospital,"Private hospital
Edinburgh, United Kingdom
Open 24 hours","Edinburgh, United Kingdom",,+44 131 334 0363,https://www.spirehealthcare.com/spire-edinburgh-hospitals-murrayfield-and-shawfair-park/?utm_source=google&utm_medium=organic&utm_campaign=Hospital_GMB
Golden Jubilee National Hospital,"Hospital
Clydebank, United Kingdom
Closes soon ⋅ 5 pm","Clydebank, United Kingdom",,+44 141 951 5000,http://www.nhsgoldenjubilee.co.uk/
Manchester Royal Infirmary,"General hospital
Manchester, United Kingdom
Open 24 hours","Manchester, United Kingdom",,+44 161 276 1234,https://mft.nhs.uk/mri/
West Cumberland Hospital,"Hospital
United Kingdom
Open 24 hours",United Kingdom,,+44 1946 693181,https://www.ncic.nhs.uk/locations/west-cumberland-hospital
Kidderminster Hospital,"Hospital
Kidderminster, United Kingdom
Open ⋅ Closes 10 pm","Kidderminster, United Kingdom",,+44 1562 823424,http://www.worcsacute.nhs.uk/our-hospitals/kidderminster-hospital-and-treatment-centre
Birmingham City Hospital,"Government hospital
United Kingdom
Open 24 hours",United Kingdom,,+44 121 553 1831,http://www.swbh.nhs.uk/find-us/birmingham-city-hospital
North Manchester General Hospital,"General hospital
Manchester, United Kingdom
Open 24 hours","Manchester, United Kingdom",,+44 161 795 4567,https://mft.nhs.uk/north-manchester-general-hospital/
University Hospital Crosshouse,"University hospital
Kilmarnock, United Kingdom
Open 24 hours","Kilmarnock, United Kingdom",,+44 1563 521133,https://www.nhsaaa.net/hospitals/university-hospital-crosshouse/
Royal Lancaster Infirmary,"General hospital
United Kingdom
Open now",United Kingdom,,+44 1524 65944,https://www.uhmb.nhs.uk/visiting-our-hospitals/parking-facilities/royal-lancaster-infirmary
Spire Liverpool Hospital,"Private hospital
Liverpool, United Kingdom
Open ⋅ Closes 8 pm","Liverpool, United Kingdom",,+44 151 733 7123,https://www.spirehealthcare.com/spire-liverpool-hospital/?utm_source=google&utm_medium=organic&utm_campaign=Hospital_GMB
Hereford County Hospital,"General hospital
Hereford, United Kingdom
Open ⋅ Closes 11:45 pm","Hereford, United Kingdom",,+44 1432 355444,http://www.wyevalley.nhs.uk/
Royal Brompton Hospital,"General hospital
London, United Kingdom
Open 24 hours","London, United Kingdom",,+44 20 7352 8121,http://www.rbht.nhs.uk/
St John's Hospital,"General hospital
Livingston, United Kingdom
Open 24 hours","Livingston, United Kingdom",,+44 1506 523000,https://www.nhslothian.scot/goingtohospital/st-johns-hospital/
Macclesfield District General Hospital,"General hospital
Macclesfield, United Kingdom
Open 24 hours","Macclesfield, United Kingdom",,+44 1625 421000,http://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1730
Worcestershire Royal Hospital,"General hospital
Worcester, United Kingdom
Open now","Worcester, United Kingdom",,+44 1905 763333,https://www.worcsacute.nhs.uk/our-hospitals/worcestershire-royal-hospital/
Ramsay Healthcare UK,"Private hospital
Halesowen, United Kingdom
Open now","Halesowen, United Kingdom",,+44 800 092 9221,http://www.ramsayhealth.co.uk/
Western General Hospital,"Government hospital
Edinburgh, United Kingdom
Open ⋅ Closes 9 pm","Edinburgh, United Kingdom",,+44 131 537 1000,https://www.nhslothian.scot/goingtohospital/western-general-hospital/
University Hospitals Bristol and Weston,"University hospital
United Kingdom
Open 24 hours",United Kingdom,,+44 117 923 0000,http://www.uhbristol.nhs.uk/
Wythenshawe Hospital,"General hospital
Manchester, United Kingdom
Open 24 hours","Manchester, United Kingdom",,+44 161 998 7070,https://mft.nhs.uk/wythenshawe/
Fairfield General Hospital,"General hospital
Bury, United Kingdom
Open 24 hours","Bury, United Kingdom",,+44 161 624 0420,https://www.northerncarealliance.nhs.uk/
Blackpool Victoria Hospital,"Government hospital
Blackpool, United Kingdom
Open 24 hours","Blackpool, United Kingdom",,+44 1253 300000,https://blackpoolteachinghospitals.nhs.uk/
Blackpool Victoria Hospital,"Government hospital
Blackpool, United Kingdom
Open 24 hours","Blackpool, United Kingdom",,+44 1253 300000,https://blackpoolteachinghospitals.nhs.uk/
South Tyneside District Hospital,"Hospital
South Shields, United Kingdom
Open 24 hours","South Shields, United Kingdom",,+44 191 404 1000,http://stft.nhs.uk/
Inverclyde Royal Hospital,"General hospital
Greenock, United Kingdom
Open 24 hours","Greenock, United Kingdom",,+44 141 314 9504,N/A
University Hospital Hairmyres,"General hospital
Glasgow, United Kingdom
Open 24 hours","Glasgow, United Kingdom",,+44 1355 585000,https://www.nhslanarkshire.scot.nhs.uk/hospitals/university-hospital-hairmyres/
Wirral University Teaching Hospital NHS Foundation Trust (WUTH).,"General hospital
Wirral, United Kingdom
Open 24 hours","Wirral, United Kingdom",,+44 151 678 5111,http://www.wuth.nhs.uk/
St. Mark's Hospital at Northwick Park Hospital,"General hospital
Harrow, United Kingdom
Closed ⋅ Opens 10 am Mon","Harrow, United Kingdom",,+44 20 8864 3232,https://www.lnwh.nhs.uk/
Chorley and South Ribble Hospital,"Hospital
Chorley, United Kingdom
Open 24 hours","Chorley, United Kingdom",,+44 1257 261222,http://www.lancsteachinghospitals.nhs.uk/
Queen Elizabeth Hospital,"General hospital
Gateshead, United Kingdom
Open 24 hours","Gateshead, United Kingdom",,+44 191 482 0000,https://www.gatesheadhealth.nhs.uk/hospitals/qe-gateshead/
Sheffield Teaching Hospitals NHS Foundation Trust,"General hospital
Sheffield, United Kingdom
Open 24 hours","Sheffield, United Kingdom",,+44 114 271 1900,http://www.sth.nhs.uk/
Nuffield Health Shrewsbury Hospital,"Private hospital
Shrewsbury, United Kingdom
Open ⋅ Closes 8 pm","Shrewsbury, United Kingdom",,+44 1743 282500,https://www.nuffieldhealth.com/hospitals/shrewsbury?utm_source=google&utm_medium=local&utm_campaign=GoogleLocal-Shrewsbury
Newark Hospital,"Hospital
Newark, United Kingdom
Open ⋅ Closes 9 pm","Newark, United Kingdom",,+44 1636 681681,https://www.sfh-tr.nhs.uk/our-hospitals/newark-hospital/
Dudley Group NHS Foundation Trust,"General hospital
Dudley, United Kingdom
Open 24 hours","Dudley, United Kingdom",,+44 1384 456111,https://www.dgft.nhs.uk/
East Lothian Community Hospital,"Hospital
Haddington, United Kingdom
Open 24 hours","Haddington, United Kingdom",,+44 1620 642700,https://www.nhslothian.scot/goingtohospital/east-lothian-community-hospital/
Penrith Hospital,"Hospital
Penrith, United Kingdom
Closes soon ⋅ 4:30 pm","Penrith, United Kingdom",,+44 1768 245555,https://www.ncic.nhs.uk/locations/penrith-community-hospital
Cambridge University Hospitals,"University hospital
Cambridge, United Kingdom
Open now","Cambridge, United Kingdom",,+44 1223 805000,https://www.cuh.nhs.uk/
Nuffield Health Newcastle-upon-Tyne Hospital,"Private hospital
Newcastle upon Tyne, United Kingdom
Open ⋅ Closes 8 pm","Newcastle upon Tyne, United Kingdom",,+44 191 281 6131,https://www.nuffieldhealth.com/hospitals/newcastle-upon-tyne?utm_source=google&utm_medium=local&utm_campaign=GoogleLocal-Newcastle
Forth Valley Royal Hospital,"Hospital
United Kingdom
Open 24 hours",United Kingdom,,+44 1324 566000,http://nhsforthvalley.com/
HCA UK City of London - 31 Old Broad Street,"Medical Center
London, United Kingdom
Closes soon ⋅ 5 pm","London, United Kingdom",,+44 20 8003 8173,N/A
