Institute Name,Institute Type,Location,Total Rating,Phone Number,Website Link
Bro Ddyfi Community Hospital,"Hospital
Machynlleth, United Kingdom
Open 24 hours","Machynlleth, United Kingdom",,+44 1654 702266,http://www.nhsdirect.wales.nhs.uk/localservices/ViewLocalService.aspx?id=5591&s=Hospital
Nevill Hall Hospital,"Government hospital
Abergavenny, United Kingdom
Open ⋅ Closes 1 am","Abergavenny, United Kingdom",,+44 1873 732732,https://111.wales.nhs.uk/LocalServices/ViewLocalService.aspx?id=3169
Prince Charles Hospital,"General hospital
Merthyr Tydfil, United Kingdom
Open 24 hours","Merthyr Tydfil, United Kingdom",,+44 1685 721721,https://cwmtafmorgannwg.wales/visiting/prince-charles-hospital/
Welshpool Hospital,"Hospital
United Kingdom
Open 24 hours",United Kingdom,,+44 1938 558900,https://pthb.nhs.wales/hospitals-and-centres/north-powys/welshpool-hospital/
Ysbyty Ystrad Fawr,"General hospital
Hengoed, United Kingdom
Open 24 hours","Hengoed, United Kingdom",,+44 1443 802200,http://www.wales.nhs.uk/sitesplus/866/page/58116
Morriston Hospital,"General hospital
Swansea, United Kingdom
Open 24 hours","Swansea, United Kingdom",,+44 1792 702222,http://www.wales.nhs.uk/sitesplus/863/page/39263
Dolgellau & Barmouth District Hospital,"Hospital
Dolgellau, United Kingdom
Open 24 hours","Dolgellau, United Kingdom",,+44 300 085 0020,https://bcuhb.nhs.wales/hospitals-and-health-centres/dolgellau-and-barmouth-hospital-dolgellau/
Tregaron Community Hospital,"Hospital
Tregaron, United Kingdom
Open now","Tregaron, United Kingdom",,+44 1974 298203,https://hduhb.nhs.wales/healthcare/hospitals-and-centres/community-hospitals/tregaron-hospital/
Bronglais Hospital,"General hospital
Aberystwyth, United Kingdom
Open 24 hours","Aberystwyth, United Kingdom",,+44 1970 623131,https://hduhb.nhs.wales/healthcare/hospitals-and-centres/hospitals/bronglais-hospital/
Dewi Sant Health Park,"General hospital
Pontypridd, United Kingdom
Open now","Pontypridd, United Kingdom",,+44 1443 486222,https://cwmtafmorgannwg.wales/visiting/dewi-sant-hospital/
Medical Outpatients - Princess of Wales Hospital,"Hospital
Bridgend, United Kingdom
DIRECTIONS","Bridgend, United Kingdom",,N/A,N/A
Maindiff Court Hospital,"General hospital
Abergavenny, United Kingdom
Open 24 hours","Abergavenny, United Kingdom",,+44 1873 735500,https://abuhb.nhs.wales/hospitals/community-services/community-hospitals-and-facilities/maindiff-court-hospital/
Ysbyty Bryn Beryl Hospital,"Hospital
Pwllheli, United Kingdom
Open 24 hours","Pwllheli, United Kingdom",,+44 300 085 0014,https://bcuhb.nhs.wales/hospitals-and-health-centres/bryn-beryl-hospital-pwllheli/
Brecon War Memorial Hospital,"Hospital
United Kingdom
Open now",United Kingdom,,+44 1874 622443,https://111.wales.nhs.uk/localservices/viewlocalservice.aspx?id=58637
Ysbyty Gwynedd Hospital,"University hospital
Bangor, United Kingdom
Open 24 hours","Bangor, United Kingdom",,+44 1248 384384,https://bcuhb.nhs.wales/hospitals-and-health-centres/ysbyty-gwynedd/
St Joseph's Hospital,"Private hospital
United Kingdom
Open 24 hours",United Kingdom,,+44 1633 820300,https://www.stjosephshospital.co.uk/?src=gmaps
Hafan Derwen Hospital,"Hospital
Carmarthen, United Kingdom
Closes soon ⋅ 5 pm","Carmarthen, United Kingdom",,+44 1267 235151,N/A
Nuffield Health The Vale Hospital,"Private hospital
Pontyclun, United Kingdom
Open 24 hours","Pontyclun, United Kingdom",,+44 29 2083 6700,http://www.nuffieldhealth.com/hospitals/cardiff-and-vale/vale-hospital?utm_source=google&utm_medium=local&utm_campaign=GoogleLocal-Vale
Cefn Coed Hospital,"Mental health clinic
Swansea, United Kingdom
Open 24 hours","Swansea, United Kingdom",,+44 1792 561155,http://www.wales.nhs.uk/sitesplus/863/page/39265
UHW Concourse,"Hospital
Cardiff, United Kingdom
Open 24 hours","Cardiff, United Kingdom",,+44 29 2074 7747,https://cavuhb.nhs.wales/hospitals-and-health-centres/our-hospitals/uhw/restaurant-and-concourse-facilities/
Neath Port Talbot Hospital,"General hospital
Port Talbot, United Kingdom
Open ⋅ Closes 9 pm","Port Talbot, United Kingdom",,+44 1639 862000,http://www.wales.nhs.uk/sitesplus/863/page/39370
Wrexham Maelor Hospital,"General hospital
Wrexham, United Kingdom
Open 24 hours","Wrexham, United Kingdom",,+44 1978 291100,https://bcuhb.nhs.wales/hospitals/wrexham-maelor-hospital/
Noah's Ark Children's Hospital for Wales,"Children's hospital
Cardiff, United Kingdom
Open 24 hours","Cardiff, United Kingdom",,+44 29 2074 7747,https://cavuhb.nhs.wales/hospitals-and-health-centres/our-hospitals/noahs-ark-childrens-hospital-for-wales/
Barry Hospital,"Hospital
Barry, United Kingdom
Closed ⋅ Opens 9 am Mon","Barry, United Kingdom",,+44 1446 704000,https://cavuhb.nhs.wales/hospitals-and-health-centres/our-hospitals/barry-hospital1/
Gorseinon Hospital,"Hospital
Swansea, United Kingdom
Open ⋅ Closes 6 pm","Swansea, United Kingdom",,+44 1792 704184,http://www.wales.nhs.uk/sitesplus/863/page/39266
St David's Hospital,"General hospital
Cardiff, United Kingdom
Closes soon ⋅ 5 pm","Cardiff, United Kingdom",,+44 29 2053 6666,http://www.cardiffandvaleuhb.wales.nhs.uk/st-david-s-hospital
Singleton Hospital,"General hospital
United Kingdom
Open 24 hours",United Kingdom,,+44 1792 205666,http://www.wales.nhs.uk/sitesplus/863/page/39264
Prince Philip Hospital (MIU 8am - 8pm),"Hospital
Llanelli, United Kingdom
Open ⋅ Closes 8 pm","Llanelli, United Kingdom",,+44 1554 756567,https://hduhb.nhs.wales/healthcare/hospitals-and-centres/hospitals/prince-philip-hospital/
Pinetree Hospital,"Psychiatric hospital
Cardiff, United Kingdom
Open 24 hours","Cardiff, United Kingdom",,+44 29 2036 5560,N/A
Glanrhyd Hospital,"Hospital
Bridgend, United Kingdom
Open now","Bridgend, United Kingdom",,+44 1656 752752,N/A
Swansea Bay University Health Board,"Hospital
Port Talbot, United Kingdom
Open 24 hours","Port Talbot, United Kingdom",N/A,+44 1639 507250,https://sbuhb.nhs.wales/
Llanidloes & District War Memorial Hospital,"General hospital
United Kingdom
Open now",United Kingdom,,+44 1686 412121,N/A
Maesteg Community Hospital,"Hospital
Maesteg, United Kingdom
Open now","Maesteg, United Kingdom",,+44 1656 752752,https://ctmuhb.nhs.wales/hospitals/mch/
Amman Valley Hospital,"Hospital
Ammanford, United Kingdom
Open ⋅ Closes 5:30 pm","Ammanford, United Kingdom",,+44 1269 822226,https://hduhb.nhs.wales/healthcare/hospitals-and-centres/community-hospitals/amman-valley-hospital/
Ysbyty George Thomas Hospital,"Medical clinic
United Kingdom
Open now",United Kingdom,,+44 1443 430022,https://ctmuhb.nhs.wales/hospitals/ygt/
Newtown Hospital,"Hospital
Newtown, United Kingdom
Open ⋅ Closes 6:30 pm","Newtown, United Kingdom",,+44 1686 617200,N/A
Gellinudd Hospital,"Hospital
United Kingdom
+44 1792 830216
DIRECTIONS",United Kingdom,N/A,N/A,N/A
South Pembrokeshire Hospital,"Hospital
Pembroke Dock, United Kingdom
Closes soon ⋅ 5 pm","Pembroke Dock, United Kingdom",,+44 1646 682114,https://hduhb.nhs.wales/healthcare/hospitals-and-centres/community-hospitals/south-pembrokeshire-hospital/
Deeside Community Hospital,"General hospital
Deeside, United Kingdom
Open 24 hours","Deeside, United Kingdom",,+44 300 085 0018,http://www.wales.nhs.uk/sitesplus/861/page/42949
Canolfan Gwili,"Hospital
United Kingdom
+44 1267 221225
	
""The mental health nurse that I saw was absolutely incredible.""
DIRECTIONS",United Kingdom,,N/A,N/A
Penley Polish Community Hospital,"Hospital
United Kingdom
Open now",United Kingdom,,+44 300 084 9800,N/A
Spire Cardiff Hospital,"Private hospital
United Kingdom
Open ⋅ Closes 6 pm",United Kingdom,,+44 29 2073 5515,https://www.spirehealthcare.com/spire-cardiff-hospital/?utm_source=google&utm_medium=organic&utm_campaign=Hospital_GMB
Chepstow Community Hospital,"Hospital
Chepstow, United Kingdom
Open ⋅ Closes 5:30 pm","Chepstow, United Kingdom",,+44 1291 636560,http://www.wales.nhs.uk/sitesplus/866/page/40469
North West Wales NHS Trust,"Medical Center
Bangor, United Kingdom
+44 1248 603110
DIRECTIONS","Bangor, United Kingdom",N/A,N/A,N/A
Ysbyty Cwm Rhondda,"Hospital
United Kingdom
Closes soon ⋅ 4:30 pm",United Kingdom,,+44 1443 430022,https://ctmuhb.nhs.wales/hospitals/ycr/
Chirk Community Hospital,"Hospital
Closed ⋅ Opens 8:30 am Mon",Closed ⋅ Opens 8:30 am Mon · +44 300 085 0003,,N/A,https://bcuhb.nhs.wales/hospitals/chirk-community-hospital/
Hafan Y Coed,"Mental health service
Penarth, United Kingdom
Open 24 hours","Penarth, United Kingdom",,+44 29 2071 1711,https://cavuhb.nhs.wales/hospitals-and-health-centres/our-hospitals/hafan-y-coed/
St Woolos Hospital,"Hospital
Newport, United Kingdom
Closes soon ⋅ 5 pm","Newport, United Kingdom",,+44 1633 234234,https://abuhb.nhs.wales/healthcare-services/community-services/community-hospitals-and-facilities/st-woolos-hospital/
Nuffield Health Cardiff Bay Hospital,"Private hospital
Cardiff, United Kingdom
Open ⋅ Closes 8 pm","Cardiff, United Kingdom",,+44 29 2083 6700,https://www.nuffieldhealth.com/hospitals/cardiff-and-vale?utm_source=google&utm_medium=local&utm_campaign=GoogleLocal-Cardiff-Bay
